module,m6A
ME2,ENSG00000035403_5
ME2,ENSG00000108349_3
ME2,ENSG00000111676_3
ME2,ENSG00000107341_3
ME2,ENSG00000135624_9
ME2,ENSG00000169230_1
ME2,ENSG00000101363_3
ME2,ENSG00000127022_14
ME2,ENSG00000006125_5
ME2,ENSG00000143321_11
ME3,ENSG00000147383_1
ME3,ENSG00000146731_2
ME3,ENSG00000157933_8
ME3,ENSG00000117724_28
ME3,ENSG00000063046_8
ME3,ENSG00000058262_24
ME3,ENSG00000167996_5
ME3,ENSG00000119335_8
ME3,ENSG00000099804_3
ME3,ENSG00000117523_2
ME3,ENSG00000182196_2
ME3,ENSG00000166913_5
ME3,ENSG00000075785_4
ME3,ENSG00000256500_7
ME3,ENSG00000135862_9
ME3,ENSG00000147140_7
ME3,ENSG00000101152_12
ME3,ENSG00000079616_8
ME3,ENSG00000044574_14
ME3,ENSG00000102225_4
ME3,ENSG00000011304_13
ME3,ENSG00000166913_4
ME3,ENSG00000160014_4
ME3,ENSG00000105323_11
ME3,ENSG00000063046_9
ME3,ENSG00000128595_12
ME3,ENSG00000004478_1
ME3,ENSG00000256028_7
ME3,ENSG00000182952_1
ME3,ENSG00000023330_8
ME3,ENSG00000134057_5
ME3,ENSG00000159140_31
ME3,ENSG00000256545_10
ME3,ENSG00000179295_13
ME3,ENSG00000110917_3
ME3,ENSG00000075624_3
ME3,ENSG00000143761_7
ME3,ENSG00000251562_30
ME3,ENSG00000011304_6
ME3,ENSG00000101367_13
ME3,ENSG00000158941_9
ME3,ENSG00000158941_8
ME3,ENSG00000102225_7
ME3,ENSG00000137124_5
ME3,ENSG00000075785_6
ME3,ENSG00000011304_7
ME3,ENSG00000132467_4
ME3,ENSG00000143761_6
ME3,ENSG00000147065_16
ME3,ENSG00000251562_31
ME3,ENSG00000130202_3
ME3,ENSG00000106682_2
ME3,ENSG00000130741_8
ME3,ENSG00000163382_2
ME3,ENSG00000101421_1
ME3,ENSG00000103549_3
ME3,ENSG00000197451_2
ME3,ENSG00000073111_6
ME3,ENSG00000184009_3
ME3,ENSG00000013275_4
ME3,ENSG00000010292_15
ME3,ENSG00000004478_6
ME3,ENSG00000105323_16
ME3,ENSG00000106682_6
ME3,ENSG00000168488_11
ME3,ENSG00000255302_1
ME3,ENSG00000161202_8
ME3,ENSG00000262660_2
ME3,ENSG00000176014_5
ME3,ENSG00000075785_2
ME3,ENSG00000166913_3
ME3,ENSG00000136238_4
ME3,ENSG00000102974_9
ME3,ENSG00000146007_7
ME3,ENSG00000170876_5
ME3,ENSG00000017797_1
ME3,ENSG00000167526_5
ME3,ENSG00000171135_1
ME3,ENSG00000143761_3
ME3,ENSG00000011304_2
ME3,ENSG00000176014_4
ME3,ENSG00000106682_7
ME3,ENSG00000197451_7
ME3,ENSG00000092820_6
ME3,ENSG00000010292_14
ME3,ENSG00000198763_1
ME3,ENSG00000102119_2
ME3,ENSG00000091527_4
ME3,ENSG00000112306_1
ME3,ENSG00000184009_4
ME3,ENSG00000099622_13
ME3,ENSG00000135624_5
ME3,ENSG00000117523_7
ME3,ENSG00000255302_2
ME3,ENSG00000087088_3
ME3,ENSG00000132467_3
ME3,ENSG00000198356_2
ME3,ENSG00000006125_6
ME3,ENSG00000168282_3
ME3,ENSG00000168906_5
ME3,ENSG00000167526_7
ME3,ENSG00000119596_16
ME3,ENSG00000181222_17
ME3,ENSG00000147140_2
ME3,ENSG00000167526_6
ME3,ENSG00000168282_2
ME3,ENSG00000168653_2
ME3,ENSG00000006125_7
ME3,ENSG00000132467_2
ME3,ENSG00000188229_3
ME3,ENSG00000184009_5
ME3,ENSG00000197102_63
ME3,ENSG00000010292_17
ME3,ENSG00000073111_10
ME3,ENSG00000101193_1
ME3,ENSG00000095139_5
ME3,ENSG00000235883_1
ME3,ENSG00000035403_13
ME3,ENSG00000143612_9
ME3,ENSG00000165732_7
ME3,ENSG00000105058_2
ME3,ENSG00000069849_1
ME3,ENSG00000106105_9
ME3,ENSG00000143621_6
ME3,ENSG00000198176_4
ME3,ENSG00000100994_6
ME3,ENSG00000127022_4
ME3,ENSG00000031698_1
ME3,ENSG00000136448_5
ME3,ENSG00000121774_3
ME3,ENSG00000121774_2
ME3,ENSG00000143621_7
ME3,ENSG00000183048_2
ME3,ENSG00000086061_8
ME3,ENSG00000106211_4
ME3,ENSG00000120948_9
ME3,ENSG00000105323_1
ME3,ENSG00000136807_3
ME3,ENSG00000128050_5
ME3,ENSG00000058262_7
ME3,ENSG00000197694_14
ME3,ENSG00000106105_13
ME3,ENSG00000090273_3
ME3,ENSG00000167658_4
ME3,ENSG00000135069_4
ME3,ENSG00000063046_20
ME3,ENSG00000173456_7
ME3,ENSG00000166197_3
ME3,ENSG00000105058_1
ME3,ENSG00000114942_2
ME3,ENSG00000136485_10
ME3,ENSG00000131653_4
ME3,ENSG00000111667_6
ME3,ENSG00000127022_6
ME3,ENSG00000177764_3
ME3,ENSG00000198176_6
ME3,ENSG00000131236_9
ME3,ENSG00000068120_8
ME3,ENSG00000198900_13
ME3,ENSG00000179041_3
ME3,ENSG00000017797_10
ME3,ENSG00000122218_22
ME3,ENSG00000165732_5
ME3,ENSG00000095139_7
ME3,ENSG00000113312_9
ME3,ENSG00000173456_6
ME3,ENSG00000116688_9
ME3,ENSG00000124702_4
ME3,ENSG00000088325_2
ME3,ENSG00000170027_8
ME3,ENSG00000147065_3
ME3,ENSG00000105323_2
ME3,ENSG00000101152_4
ME3,ENSG00000166333_2
ME3,ENSG00000058262_6
ME3,ENSG00000128050_4
ME3,ENSG00000260238_3
ME3,ENSG00000030582_4
ME3,ENSG00000241685_4
ME3,ENSG00000101189_3
ME3,ENSG00000104805_11
ME3,ENSG00000095139_3
ME3,ENSG00000124222_8
ME3,ENSG00000155506_5
ME3,ENSG00000213465_4
ME3,ENSG00000114867_29
ME3,ENSG00000106211_3
ME3,ENSG00000165732_1
ME3,ENSG00000108179_2
ME3,ENSG00000198786_2
ME3,ENSG00000099194_11
ME3,ENSG00000162073_8
ME3,ENSG00000170315_3
ME3,ENSG00000196419_8
ME3,ENSG00000136938_1
ME3,ENSG00000263136_2
ME3,ENSG00000198176_3
ME3,ENSG00000072778_5
ME3,ENSG00000127022_3
ME3,ENSG00000156599_8
ME3,ENSG00000128524_1
ME3,ENSG00000129351_1
ME3,ENSG00000103495_5
ME3,ENSG00000100216_1
ME3,ENSG00000104805_10
ME3,ENSG00000147065_6
ME3,ENSG00000105323_5
ME3,ENSG00000101856_4
ME3,ENSG00000128050_3
ME3,ENSG00000099942_2
ME3,ENSG00000117523_28
ME3,ENSG00000035403_16
ME3,ENSG00000105058_7
ME3,ENSG00000170027_15
ME3,ENSG00000031698_4
ME3,ENSG00000121774_6
ME3,ENSG00000136938_3
ME3,ENSG00000121774_7
ME3,ENSG00000136448_1
ME3,ENSG00000198727_1
ME3,ENSG00000187840_2
